player,team,position,age,games,minutes,percentage of team minutes,usage percent,turnover per pocession,free throw attempts,free throw percent,2 point shots attempts,2 point shots percentage,3 point shots attempts,3 point shots percentage,true shooting percentage,points per game,rebounds pergame,true rebound percentage,assists per game,percentage of team assists,steals per game,blocks per game,versatility index
Damian Lillard,Por,PG,23,82,35.6,73.6,25.1,0.115,426,0.871,749,0.447,554,0.394,0.569,20.7,3.5,5.3,5.5,25.2,0.78,0.27,8.3
Jeremy Lin,Hou,PG,25,71,28.7,59.3,20.5,0.184,265,0.823,433,0.492,230,0.357,0.571,12.5,2.6,5.1,4.1,22.5,0.94,0.38,7.1
Shaun Livingston,Bro,PG,28,76,25.8,53.1,16.2,0.155,191,0.827,481,0.486,6,0.167,0.551,8.3,3.2,7.5,3.2,20.3,1.22,0.42,6.8
Brook Lopez,Bro,C,25,17,31.2,62,27.2,0.091,115,0.817,228,0.566,1,0,0.629,20.7,6,11.5,0.9,6.1,0.53,1.76,6.2
Robin Lopez,Por,C,25,82,31.5,65.1,14.1,0.101,242,0.818,643,0.552,1,0,0.605,11.1,8.5,14.5,0.9,4.2,0.32,1.7,5.6
Kevin Love,Min,PF,25,77,36.1,74.5,29,0.103,633,0.821,917,0.502,505,0.376,0.591,26.1,12.5,18.9,4.5,21.7,0.77,0.45,12.6
Kyle Lowry,Tor,PG,27,79,36,74,23.1,0.134,385,0.813,580,0.46,500,0.38,0.567,17.9,4.7,7.6,7.4,34.9,1.53,0.19,9.5
John Lucas,Uta,PG,31,42,13.9,28.7,17.2,0.1,16,0.625,106,0.349,84,0.298,0.403,3.8,0.9,3.8,1,11.2,0.33,0,4.3
Shelvin Mack,Atl,PG,24,73,20.2,41.8,19.2,0.144,74,0.865,317,0.464,184,0.337,0.51,7.5,2.2,6.3,3.7,29.1,0.68,0.03,7.8
Ian Mahinmi,Ind,C,27,77,16,33.2,11.5,0.187,145,0.621,188,0.484,1,0,0.538,3.5,3.3,11.7,0.3,3,0.53,0.94,3.8
Shawn Marion,Dal,SF,35,76,31.5,65.1,15.8,0.114,65,0.785,546,0.518,162,0.358,0.537,10.4,6.5,12,1.6,7.6,1.18,0.49,6.1
Kendall Marshall,Lal,PG,22,54,28.7,59.8,16.5,0.256,36,0.528,241,0.411,178,0.399,0.494,8,2.9,5.3,8.8,44.7,0.89,0.07,8.2
Cartier Martin,Chi,SF,29,6,7.8,13.8,10.7,0.093,4,0.5,3,0.667,5,0.6,0.768,2.5,0.8,6.1,0.3,7.1,0.17,0,4.3
Cartier Martin,Atl,SF,29,53,15.3,31.5,17.7,0.104,61,0.754,110,0.455,146,0.384,0.555,5.9,2,7.5,0.6,6.1,0.49,0.13,5
Kenyon Martin,Nyk,PF,36,32,19.6,39.8,11.6,0.166,19,0.579,121,0.521,1,0,0.525,4.3,4.2,12.6,1.6,12.1,0.78,0.84,6.3
Kevin Martin,Min,SG,30,68,31.8,65.6,25.1,0.083,340,0.891,725,0.448,297,0.387,0.554,19.1,3,5.1,1.8,9.5,0.97,0.09,5.9
Roger Mason,Mia,SG,33,25,10.2,20.5,14.7,0.115,7,1,19,0.421,47,0.362,0.536,3,0.9,5.4,0.8,10.8,0.24,0.04,5.1
Wesley Matthews,Por,SG,27,82,33.8,69.7,19.7,0.087,301,0.837,499,0.489,511,0.393,0.588,16.4,3.5,5.6,2.4,11.1,0.93,0.17,6.1
Jason Maxiell,Orl,PF,30,34,14.2,28.6,12.5,0.106,31,0.484,105,0.448,0,0,0.459,3.2,2.5,10.1,0.3,2.8,0.24,0.59,3.8
Eric Maynor,Was,PG,26,23,9.1,17.8,19.4,0.188,3,0.667,47,0.277,25,0.32,0.355,2.3,1,6.6,1.7,27.5,0.22,0.04,6.9
Eric Maynor,Phi,PG,26,8,13.9,26.5,17,0.27,8,0.5,17,0.412,12,0.333,0.461,3.8,1.9,7.3,1.5,15.8,0.5,0.25,6.4
O.J. Mayo,Mil,SG,26,52,25.7,52.7,23.1,0.139,88,0.864,323,0.433,227,0.37,0.516,11.7,2.4,5.4,2.2,14.7,0.54,0.25,6.2
Luc Mbah a Moute,Sac,SF,27,9,21.6,42.1,9.5,0.096,13,0.692,29,0.483,3,0.333,0.53,4.4,3,7.8,1.7,11.2,1,0.56,5.2
Luc Mbah a Moute,Min,PF,27,55,14.5,29.8,11.8,0.163,54,0.685,147,0.469,14,0.214,0.498,3.3,2.2,8.1,0.4,3.7,0.4,0.16,3.9
Ray McCallum,Sac,PG,22,45,19.7,40.6,17.8,0.109,43,0.744,241,0.378,59,0.373,0.439,6.2,1.8,5,2.7,21.2,0.49,0.2,6.3
C.J. McCollum,Por,SG,22,38,12.4,25.3,21.2,0.154,34,0.676,98,0.449,80,0.375,0.521,5.3,1.3,5.5,0.7,8.8,0.37,0.05,5.5
JaVale McGee,Den,C,26,5,15.7,30.8,25.7,0.169,1,1,39,0.436,0,0,0.444,7,3.4,11.7,0.4,4.4,0.2,1.4,5.4
Ben McLemore,Sac,SG,20,82,26.5,54.8,17,0.115,143,0.804,382,0.419,297,0.32,0.485,8.8,2.9,6.1,1,5.9,0.55,0.22,4.4
Josh McRoberts,Cha,PF,26,78,30.1,61.9,13.5,0.121,85,0.729,275,0.516,291,0.361,0.548,8.5,4.8,9,4.3,22.2,0.74,0.59,7.4
Jodie Meeks,Lal,SG,26,77,33,68.7,19.2,0.099,258,0.857,488,0.514,404,0.401,0.601,15.7,2.5,4.1,1.8,8.6,1.44,0.05,5
Gal Mekel,Dal,PG,25,31,9.2,18.9,19.4,0.254,12,0.667,66,0.379,20,0.25,0.4,2.4,0.9,5.4,2,30.8,0.13,0.03,7.1
Khris Middleton,Mil,SF,22,82,29.8,61.4,19.2,0.119,137,0.861,564,0.454,290,0.414,0.541,12.1,3.8,7.3,2.1,11.8,1.01,0.23,6.2
C.J. Miles,Cle,SG,26,51,19.1,38.9,22.3,0.091,75,0.853,198,0.48,211,0.393,0.569,9.9,2,5.9,1,9.2,0.9,0.29,5.7
Andre Miller,Den,SG,37,30,18.8,38.7,14.9,0.167,47,0.745,126,0.452,18,0.5,0.534,5.9,2.4,7,3.3,26.1,0.5,0.23,7.7
Andre Miller,Was,SG,37,28,14.5,28.6,14.3,0.218,30,0.833,84,0.452,3,0.667,0.534,3.8,2,8.2,3.5,34.5,0.68,0.07,8.2
Darius Miller,Nor,SF,23,45,15.8,32.5,13,0.108,36,0.806,89,0.539,77,0.325,0.55,4.4,1.2,4.2,1,8.9,0.51,0.2,4.4
Mike Miller,Mem,SF,33,82,20.6,42.6,14.9,0.141,56,0.821,210,0.505,233,0.459,0.619,7.1,2.5,7.3,1.6,11.5,0.32,0.06,5.9
Quincy Miller,Den,SF,21,52,15,31,17.9,0.146,55,0.709,162,0.395,94,0.319,0.459,4.9,2.8,10.2,0.5,4.9,0.42,0.62,5.1
Patrick Mills,San,PG,25,81,18.7,38.7,22.8,0.081,82,0.89,348,0.5,318,0.425,0.588,10.2,2.1,6.3,1.8,15.5,0.84,0.11,7.2
Paul Millsap,Atl,PF,28,74,33.3,68.9,25.9,0.132,391,0.731,835,0.487,212,0.358,0.545,17.9,8.5,14.7,3.1,16.3,1.74,1.05,9.4
Nazr Mohammed,Chi,C,36,80,6.8,14.1,14.9,0.21,30,0.533,126,0.429,0,0,0.445,1.6,2.2,18.2,0.3,5.9,0.18,0.38,6
Greg Monroe,Det,PF,23,82,32.6,67.5,21.5,0.124,367,0.657,1014,0.497,1,0,0.531,15.2,9.3,15.5,2.1,10.4,1.11,0.57,8.2
E'Twaun Moore,Orl,SG,24,79,18.9,38.8,16.5,0.102,68,0.765,295,0.468,161,0.354,0.513,6.3,1.7,5.2,1.4,12,0.76,0.16,5.2
Darius Morris,Phi,PG,23,12,15.9,31.2,21.1,0.199,21,0.714,43,0.442,24,0.417,0.544,6.9,1.1,3.7,2.6,25.8,0.67,0,6.8
Darius Morris,Lac,PG,23,10,5.2,10.6,13.4,0.126,2,0.5,6,0.667,7,0,0.324,0.9,0.5,5.3,0.5,13,0.2,0,4.7
Darius Morris,Mem,PG,23,5,13,24.5,16.6,0.257,3,0.333,9,0.444,7,0.286,0.433,3,1.6,7.3,1.6,17.7,0.6,0,6.1
Marcus Morris,Pho,SF,24,82,21.8,45.2,20.1,0.116,159,0.761,391,0.483,260,0.381,0.552,9.7,3.9,10,1.1,7.7,0.88,0.22,6.4
Markieff Morris,Pho,PF,24,81,26.4,54.8,23.4,0.129,327,0.792,737,0.512,108,0.315,0.564,13.8,6,12.7,1.8,11,0.84,0.63,8
Anthony Morrow,Nor,SG,28,76,18.6,38.3,19.6,0.084,87,0.828,325,0.462,195,0.451,0.57,8.4,1.8,5.8,0.8,6.8,0.51,0.17,4.9
Donatas Motiejunas,Hou,PF,23,62,15.2,31.3,18.1,0.127,96,0.604,212,0.519,84,0.25,0.504,5.5,3.6,13.3,0.5,5.6,0.32,0.34,5.7
Arnett Moultrie,Phi,PF,23,12,15.4,30.2,10.8,0.148,5,0.8,38,0.421,0,0,0.448,3,2.9,10.3,0.2,1.6,0.67,0.33,3.1
Timofey Mozgov,Den,C,27,82,21.4,44.4,18.9,0.156,260,0.754,521,0.539,24,0.167,0.584,9.4,6.4,16.3,0.8,5.6,0.33,1.22,6.8
Shabazz Muhammad,Min,SG,21,37,7.6,15.6,23.7,0.102,40,0.65,112,0.482,12,0.25,0.505,3.9,1.4,10.2,0.2,3.5,0.22,0.03,5.4
Byron Mullens,Lac,C,24,27,6,12.3,21.7,0.163,6,0.333,25,0.52,39,0.333,0.503,2.5,1.2,11,0.2,5.7,0.22,0.11,5.6
Byron Mullens,Phi,C,24,18,13.5,27.1,21.1,0.116,14,0.571,51,0.529,50,0.4,0.569,6.8,3.3,13.3,0.4,5.6,0.5,0.44,6.2
Toure' Murry,Nyk,SF,24,51,7.1,14.5,23.2,0.189,39,0.59,117,0.436,12,0.417,0.479,2.7,0.9,7.2,1,22.3,0.37,0.02,7.6
Mike Muscala,Atl,C,22,20,10.6,21.4,19.6,0.132,14,1,70,0.443,3,0,0.48,3.8,2.6,14.2,0.4,5.3,0.15,0.5,6
Hamady N'Diaye,Sac,C,27,14,5.1,10.1,7.7,0.241,1,0,9,0.333,0,0,0.318,0.4,1.3,14.3,0.2,5.9,0,0.29,3.7
Steve Nash,Lal,PG,39,15,20.6,42.7,19.1,0.229,24,0.917,70,0.4,24,0.333,0.488,6.8,1.9,5,5.7,40.8,0.47,0.13,8.1
Gary Neal,Mil,SG,29,30,20,40.6,25.6,0.115,54,0.833,166,0.41,111,0.36,0.5,10,1.7,4.8,1.5,13.6,0.23,0,5.9
Gary Neal,Cha,SG,29,22,22.9,45.7,22.2,0.104,51,0.961,125,0.456,69,0.406,0.571,11.2,1.8,4.5,1.7,12.7,0.5,0,5.7
