player,team,position,age,games,minutes,percentage of team minutes,usage percent,turnover per pocession,free throw attempts,free throw percent,2 point shots attempts,2 point shots percentage,3 point shots attempts,3 point shots percentage,true shooting percentage,points per game,rebounds pergame,true rebound percentage,assists per game,percentage of team assists,steals per game,blocks per game,versatility index
Quincy Acy,Tor,SF,23,7,8.5,15.3,14.9,0.102,8,0.625,9,0.444,5,0.4,0.542,2.7,2.1,14.7,0.6,10.3,0.57,0.43,7.1
Quincy Acy,Sac,SF,23,56,13.9,28.6,9.9,0.16,45,0.667,117,0.496,10,0.2,0.518,2.7,3.6,14.5,0.4,4.5,0.34,0.41,4.5
Steven Adams,Okc,C,20,81,14.6,30.2,11.8,0.225,136,0.581,185,0.503,0,0,0.541,3.3,4.1,15.8,0.5,5.1,0.49,0.7,5.2
Jeff Adrien,Cha,PF,27,25,10.1,20.3,10.8,0.136,25,0.52,40,0.55,0,0,0.559,2.3,3.5,19.7,0.3,4.2,0.28,0.6,5.3
Jeff Adrien,Mil,PF,27,28,25,50.6,19.9,0.101,94,0.67,235,0.515,0,0,0.552,10.9,7.8,17.9,1.1,7.8,0.61,0.75,7.3
Arron Afflalo,Orl,SG,28,73,34.8,71.3,23.4,0.112,336,0.815,711,0.473,300,0.427,0.574,18.2,3.6,5.8,3.4,17,0.48,0.04,7
Alexis Ajinca,Nor,C,25,56,16.8,34.5,16.5,0.184,67,0.836,249,0.546,1,0,0.587,5.9,4.9,17.1,0.7,6.7,0.41,0.82,6.5
Cole Aldrich,Nyk,C,25,46,6.9,14.2,13.4,0.195,30,0.867,61,0.541,0,0,0.62,2,2.8,23.7,0.3,6.6,0.17,0.65,6.9
LaMarcus Aldridge,Por,PF,28,69,36,74.3,29.9,0.072,360,0.822,1408,0.461,15,0.2,0.507,23.2,11.1,16.6,2.6,13.1,0.93,1,9.7
Lavoy Allen,Phi,PF,24,51,18.7,38.3,14.4,0.127,40,0.675,252,0.456,13,0.154,0.465,5.2,5.4,15.7,1.3,10.4,0.43,0.53,7.1
Lavoy Allen,Ind,PF,24,14,7.8,15.7,17.9,0.094,10,0.6,34,0.5,0,0,0.521,2.9,2.4,17.6,0.4,9.4,0.14,0.43,7.2
Ray Allen,Mia,SG,38,73,26.3,54.2,16.9,0.123,116,0.905,234,0.53,309,0.375,0.59,9.6,2.8,6.7,2,11.2,0.74,0.1,5.7
Tony Allen,Mem,SG,32,55,23.1,47.6,20.2,0.162,121,0.628,366,0.527,47,0.234,0.531,9,3.8,9.7,1.7,11.8,1.64,0.35,6.7
Al-Farouq Aminu,Nor,SF,23,80,25.4,52.4,14.4,0.137,137,0.664,446,0.496,48,0.271,0.516,7.2,6.2,14.2,1.4,8.4,1.03,0.46,6.2
Louis Amundson,Nor,PF,31,18,10,20,14.3,0.248,24,0.25,32,0.5,0,0,0.446,2.1,3.1,17.7,0.3,4.8,0.5,0.61,5
Chris Andersen,Mia,C,35,72,19.2,39.5,13.9,0.132,169,0.71,263,0.662,12,0.25,0.683,6.6,5.3,17.2,0.3,2.1,0.44,1.35,4.6
Alan Anderson,Bro,SF,31,78,22.6,46.5,16,0.104,118,0.78,237,0.464,248,0.339,0.525,7.2,2.2,6,1,7.3,0.62,0.14,4.4
James Anderson,Phi,SG,24,80,28.6,59.1,16.1,0.122,106,0.726,366,0.53,351,0.328,0.53,10.1,3.8,7.1,1.9,10.1,0.93,0.35,5.8
Ryan Anderson,Nor,PF,25,22,35.9,72.5,23.1,0.05,62,0.952,190,0.463,164,0.409,0.572,19.8,6.4,10.4,0.8,3.7,0.45,0.32,5.2
Giannis Antetokounmpo,Mil,SF,19,77,24.4,50.4,15.1,0.194,202,0.683,300,0.44,118,0.347,0.518,6.8,4.4,10.3,1.9,12.2,0.78,0.79,6.3
Carmelo Anthony,Nyk,PF,29,77,38.5,79.5,32.6,0.095,541,0.848,1229,0.469,415,0.402,0.561,27.4,8.1,12.3,3.1,15.7,1.25,0.66,9.2
Joel Anthony,Bos,C,31,21,6.9,14.2,9.4,0.065,6,0.333,26,0.385,0,0,0.384,1,1.5,12.2,0.1,2,0.14,0.38,3.1
Pero Antic,Atl,PF,31,50,18.3,37.6,18.8,0.145,66,0.758,123,0.545,171,0.327,0.545,7,4.2,13.2,1.2,10.1,0.38,0.24,7.2
Trevor Ariza,Was,SF,28,77,35.1,71.8,17.9,0.123,193,0.772,411,0.509,442,0.407,0.59,14.4,6.2,10.2,2.5,10.9,1.64,0.26,6.9
Hilton Armstrong,Gol,C,29,15,6.3,12.6,14.9,0.187,16,0.438,19,0.474,0,0,0.48,1.7,3.1,27.2,0.3,7.4,0.27,0.27,7.4
Darrell Arthur,Den,SF,25,68,16.9,35,18.3,0.117,62,0.855,346,0.399,64,0.375,0.459,5.9,3.1,9.9,0.9,8.1,0.57,0.69,6
Omer Asik,Hou,C,27,48,20,41.1,13.9,0.194,126,0.619,190,0.532,0,0,0.57,5.8,7.9,22,0.6,4.1,0.29,0.77,6
D.J. Augustin,Tor,PG,26,10,8,14.9,20.3,0.253,6,1,13,0.462,11,0.091,0.394,2.1,0.4,2.9,1,18.9,0.1,0,4.7
D.J. Augustin,Chi,PG,26,61,30.2,61.9,22.7,0.128,221,0.882,373,0.426,321,0.411,0.574,14.9,2.1,3.9,5,29.6,0.85,0.05,7.1
Gustavo Ayon,Atl,C,28,26,16.3,33.2,15,0.207,20,0.4,102,0.51,0,0,0.505,4.3,4.8,17.1,1.1,10.2,0.96,0.38,6.9
Jeff Ayres,San,PF,26,73,12.9,26.7,12.6,0.241,55,0.691,174,0.58,0,0,0.605,3.3,3.5,15.4,0.8,8.7,0.18,0.34,6.5
Chris Babb,Bos,SG,23,14,9.2,18.9,11.4,0.091,0,0,3,0.667,27,0.222,0.367,1.6,1.2,7.5,0.2,3.3,0.43,0,3.2
Luke Babbitt,Nor,PF,24,27,17.4,35.2,17.1,0.085,18,0.778,59,0.407,95,0.379,0.525,6.3,3.3,10.9,1.1,9.5,0.26,0.41,6.5
Leandro Barbosa,Pho,PG,31,20,18.1,37.2,20.3,0.114,39,0.795,106,0.462,25,0.28,0.506,7.5,1.9,5.7,1.6,13.6,0.35,0.2,6.3
Jose Barea,Min,PG,29,79,18.4,38.1,24.1,0.15,100,0.79,425,0.426,231,0.316,0.471,8.4,1.9,5.8,3.8,33.2,0.33,0,8.5
Andrea Bargnani,Nyk,C,28,42,29.7,60.9,22.5,0.096,102,0.824,394,0.487,108,0.278,0.51,13.3,5.3,10.5,1.1,6.2,0.33,1.21,5.7
Harrison Barnes,Gol,SF,21,78,28,58,16.9,0.1,181,0.718,488,0.42,190,0.347,0.487,9.5,4,7.8,1.5,7.7,0.83,0.26,5.5
Matt Barnes,Lac,SF,33,63,27.3,56.6,16.7,0.13,90,0.733,243,0.551,284,0.342,0.552,9.9,4.6,9.4,2,10.7,0.89,0.44,6.6
Will Barton,Por,SG,23,41,9.2,18.9,21.7,0.096,32,0.813,123,0.447,33,0.303,0.488,4,1.8,10.5,0.8,13.7,0.22,0.17,7.8
Brandon Bass,Bos,PF,28,82,27.5,57.1,18.4,0.109,239,0.858,719,0.487,6,0.333,0.549,11.1,5.7,11.9,1.1,6.4,0.44,0.87,6
Shane Battier,Mia,SF,35,73,19.9,41,10.1,0.072,23,0.652,65,0.492,210,0.348,0.523,4.1,1.9,5.9,0.9,6,0.68,0.53,3.8
Nicolas Batum,Por,SF,25,82,35.8,74,16.6,0.187,203,0.803,417,0.566,402,0.361,0.589,13,7.5,11.2,5.1,21.1,0.91,0.7,8.9
Jerryd Bayless,Mem,PG,25,31,20.7,42.5,20.6,0.077,57,0.789,156,0.417,83,0.301,0.473,8.1,1.9,5.4,2.1,15.8,0.65,0.16,6.2
Jerryd Bayless,Bos,PG,25,41,25.1,52,20,0.129,61,0.803,248,0.431,130,0.392,0.514,10.1,2.1,4.7,3.1,20.5,0.95,0.1,6.4
Aron Baynes,San,C,27,53,9,18.7,19.6,0.173,21,0.905,163,0.436,0,0,0.467,3,2.7,17.1,0.6,10.2,0.04,0.09,7.5
Kent Bazemore,Gol,SG,24,44,5.9,12.1,23.9,0.199,36,0.528,58,0.448,39,0.256,0.448,2.3,0.9,8.4,0.5,11.4,0.27,0.14,6.9
Kent Bazemore,Lal,SG,24,23,27.8,57.6,22.5,0.155,73,0.644,157,0.497,89,0.371,0.543,13.1,3.3,6.4,3.1,18.1,1.35,0.3,7.4
Bradley Beal,Was,SG,20,73,34.5,70.3,24.4,0.094,189,0.788,806,0.426,343,0.402,0.507,17.1,3.7,6.3,3.4,16.2,0.97,0.25,6.9
Michael Beasley,Mia,SF,25,55,14.9,30.6,26.1,0.128,79,0.772,301,0.518,54,0.389,0.559,7.9,3.1,13.2,0.7,8.7,0.42,0.38,6.9
Marco Belinelli,San,SF,27,80,25,51.9,19.1,0.112,131,0.847,402,0.525,293,0.43,0.605,11.4,2.8,6.4,2.2,13.3,0.63,0.09,6.6
Anthony Bennett,Cle,SF,20,52,12.5,25.6,20.7,0.155,69,0.638,172,0.39,53,0.245,0.425,4.2,3,13.3,0.3,4.1,0.4,0.15,5
Patrick Beverley,Hou,SG,25,56,31.1,64,14.9,0.112,102,0.814,226,0.473,255,0.361,0.545,10.2,3.5,6.3,2.7,12.7,1.39,0.41,5.9
Andris Biedrins,Uta,C,27,6,7.3,14.3,5.9,0.355,6,0.167,1,1,0,0,0.412,0.5,2.8,22.3,0,0,0,0,0
Chauncey Billups,Det,SG,37,19,16,32.7,15.3,0.229,12,0.833,31,0.323,48,0.292,0.427,3.8,1.5,5,2.2,19,0.42,0.05,5.8
Bismack Biyombo,Cha,C,21,77,13.7,28.3,9.8,0.179,89,0.517,144,0.611,0,0,0.606,2.9,4.8,19.5,0.1,1.1,0.09,1.12,3.3
DeJuan Blair,Dal,PF,24,78,15.4,31.8,19.8,0.147,121,0.636,391,0.537,2,0,0.557,6.4,4.7,17.7,0.9,9.1,0.77,0.28,7.8
Steve Blake,Lal,PG,33,27,32.8,68.1,15.7,0.222,35,0.8,102,0.353,131,0.397,0.515,9.5,3.8,6.2,7.6,33.2,1.22,0.07,7.9
Steve Blake,Gol,PG,33,28,21.5,43.8,11.3,0.201,8,0.625,41,0.439,79,0.342,0.494,4.4,2,5.1,3.6,22.9,0.71,0.21,5.9
Andray Blatche,Bro,PF,27,73,21.9,45.2,25.8,0.125,221,0.742,620,0.494,54,0.278,0.532,11.2,5.3,14.6,1.5,13,1.03,0.52,8.2
Eric Bledsoe,Pho,PG,24,43,32.8,67.8,25.1,0.178,237,0.772,416,0.517,140,0.357,0.578,17.7,4.7,8,5.5,27.3,1.6,0.33,9.4
Keith Bogans,Bos,SG,33,6,9,18.1,6.8,0.12,3,1,0,0,6,0.5,0.82,2,0.5,3.2,0.5,7.9,0.17,0,3.5
Andrew Bogut,Gol,C,29,67,26.2,54.1,12.5,0.194,64,0.344,375,0.627,0,0,0.61,7.3,10,20.8,1.7,9.4,0.72,1.78,7.6
Matt Bonner,San,PF,33,61,11.1,23,12.4,0.086,12,0.75,66,0.47,98,0.429,0.582,3.2,2.1,10.9,0.5,6.2,0.25,0.18,5.4
Trevor Booker,Was,PF,26,72,21.4,43.6,14.5,0.117,76,0.618,401,0.554,2,0,0.563,6.8,5.3,14.3,0.9,6.4,0.57,0.63,6
Carlos Boozer,Chi,PF,32,76,28,57.6,26.4,0.126,193,0.767,978,0.457,2,0,0.489,13.7,8.3,16.9,1.6,11.1,0.71,0.29,8.1
Chris Bosh,Mia,C,29,79,31.9,65.7,22.8,0.104,272,0.82,735,0.569,219,0.338,0.597,16.2,6.6,13,1.1,5.8,1.01,0.99,6.1
Avery Bradley,Bos,PG,23,60,30.7,63.8,23.4,0.099,112,0.804,625,0.451,200,0.395,0.51,14.9,3.8,7,1.4,8.2,1.05,0.18,5.6
Elton Brand,Atl,PF,34,73,19.2,39.6,14.1,0.138,94,0.649,330,0.542,2,0,0.561,5.7,4.9,14.9,1,8.2,0.55,1.21,6.3
Corey Brewer,Min,SF,27,81,32,66.2,16.6,0.104,227,0.718,596,0.55,211,0.28,0.549,12.3,2.6,4.3,1.7,7.9,1.85,0.37,4.7
Ronnie Brewer,Hou,SF,28,23,6.7,13.6,5.1,0.112,2,0,7,0.286,8,0.125,0.22,0.3,0.6,5.1,0.4,8.5,0.26,0.04,2.5
Aaron Brooks,Hou,PG,29,43,16.5,33.9,20.6,0.153,44,0.841,131,0.382,132,0.409,0.529,7,1.4,4.9,1.9,18.3,0.58,0.14,6.4
Aaron Brooks,Den,PG,29,29,28.8,59.3,20.7,0.162,51,0.902,202,0.431,116,0.362,0.508,11.9,2.7,5,5.2,28,0.93,0.24,7.6
MarShon Brooks,Bos,SG,25,10,7.1,14.5,23.2,0.188,14,0.786,20,0.35,4,0.5,0.514,3.1,1.9,15.2,0.4,8.9,0.1,0.2,7.5
MarShon Brooks,Lal,SG,25,18,12.5,25.8,22.7,0.146,26,0.692,69,0.464,19,0.579,0.578,6.4,1.7,7.1,1.1,14.7,0.67,0.17,7.3
Lorenzo Brown,Phi,SG,23,26,8.4,17.1,20.8,0.149,13,0.692,56,0.411,30,0.1,0.349,2.5,1.1,6.9,1.5,27.5,0.5,0.12,7.6
Shannon Brown,San,SG,28,10,10.1,20.5,17.8,0.2,9,0.778,26,0.308,2,0,0.36,2.3,1.3,7.2,0.5,6.5,0.1,0,4.5
Shannon Brown,Nyk,SG,28,19,7.6,15.3,17.1,0.188,12,0.667,38,0.421,0,0,0.462,2.1,0.8,6.1,0.2,4.2,0.63,0,3.7
Kobe Bryant,Lal,SG,35,6,29.4,60.2,28.8,0.292,21,0.857,57,0.491,16,0.188,0.505,13.8,4.3,7.9,6.3,34.7,1.17,0.17,9.8
Chase Budinger,Min,SF,25,41,18.1,37,16.9,0.081,39,0.821,134,0.433,120,0.35,0.505,6.7,2.5,7.6,0.8,6.3,0.46,0.05,5.2
Reggie Bullock,Lac,SF,22,43,9,18.7,15.7,0.094,9,0.778,48,0.438,73,0.301,0.46,2.7,1.3,7.7,0.3,4.4,0.21,0.02,4.5
Trey Burke,Uta,PG,21,70,32.1,66.6,21.9,0.122,113,0.903,561,0.41,336,0.33,0.473,12.8,3,5.3,5.7,29.6,0.59,0.09,7.5
Alec Burks,Uta,SG,22,78,27.9,57.9,24,0.13,373,0.748,688,0.48,143,0.35,0.547,14,3.3,6.8,2.7,17,0.88,0.18,7.2
Caron Butler,Mil,SF,33,34,24,48.8,23.9,0.123,56,0.839,207,0.406,147,0.361,0.494,11,4.6,11.1,1.6,11.9,0.68,0.32,7.2
Caron Butler,Okc,SF,33,22,27,54.9,15.1,0.04,19,0.842,84,0.369,102,0.441,0.548,9.7,3.2,6.7,1.2,6.5,1.09,0.27,4.9
Jimmy Butler,Chi,SG,24,67,38.5,78.9,16.9,0.108,338,0.769,453,0.457,240,0.283,0.522,13.1,4.9,7.3,2.6,11.2,1.88,0.52,5.7
Rasual Butler,Ind,SG,34,50,7.4,15.2,15.8,0.087,14,0.571,48,0.521,62,0.419,0.585,2.7,0.8,6.3,0.3,7.6,0.14,0.18,4.7
Dwight Buycks,Tor,PG,24,14,10.2,19.7,19.7,0.161,9,0.889,31,0.323,17,0.294,0.414,3.1,1.6,9.4,0.7,10.8,0.57,0,5.9
Andrew Bynum,Cle,C,26,24,19.8,39.6,23.6,0.119,42,0.762,203,0.419,0,0,0.456,8.4,5.3,14.9,1.1,9.7,0.25,1.17,7.4
Andrew Bynum,Ind,C,26,2,17.7,30.5,37.6,0.138,7,0.714,22,0.409,0,0,0.459,11.5,9.5,30.2,1,11.5,0,0.5,10.8
Will Bynum,Det,PG,31,56,18.6,38.5,24,0.176,121,0.802,368,0.446,62,0.323,0.502,8.7,1.8,5.2,3.9,33,0.7,0.13,8.5
Nick Calathes,Mem,SG,24,71,16.3,33.7,17.7,0.228,72,0.611,250,0.492,61,0.311,0.506,4.9,1.9,7,2.9,27.1,0.92,0.11,7.4
Jose Calderon,Dal,SG,32,81,30.3,62.6,16.3,0.117,63,0.825,323,0.464,425,0.449,0.596,11.4,2.4,4.5,4.7,22.7,0.85,0.14,6.7
Kentavious Caldwell-Pope,Det,SG,20,80,19.6,40.6,14.1,0.054,62,0.758,275,0.447,185,0.319,0.482,5.9,2,5.4,0.7,5.1,0.94,0.15,4.1
Isaiah Canaan,Hou,PG,22,22,11.3,22.8,21.2,0.167,29,0.724,32,0.406,55,0.327,0.506,4.6,1.1,5.4,1,14,0.36,0.18,6.1
DeMarre Carroll,Atl,SF,27,73,31.8,65.8,15.3,0.101,141,0.773,374,0.548,268,0.362,0.575,11.1,5.5,10,1.8,9.1,1.48,0.29,6
Vince Carter,Dal,SG,37,81,24.2,50,23.3,0.107,196,0.821,440,0.418,371,0.394,0.539,11.9,3.5,8.4,2.6,16.6,0.75,0.42,7.9
Michael Carter-Williams,Phi,PG,22,70,34.3,70.7,25.8,0.169,367,0.703,846,0.44,208,0.264,0.48,16.7,6.2,9.8,6.3,30.4,1.84,0.61,10.1
Omri Casspi,Hou,PF,25,71,17.9,36.9,18.5,0.136,122,0.68,234,0.479,176,0.347,0.528,6.9,3.7,11.4,1.3,10.8,0.62,0.2,7.2
Mario Chalmers,Mia,PG,27,73,29.6,61,17.6,0.204,163,0.742,334,0.5,226,0.385,0.567,9.8,2.9,6.2,4.9,24.5,1.63,0.22,7
Tyson Chandler,Nyk,C,31,55,30,61.8,13,0.154,155,0.632,321,0.595,1,0,0.615,8.7,9.6,18.8,1.1,5.6,0.67,1.15,6
Wilson Chandler,Den,SF,26,62,30.7,63.7,19.7,0.089,152,0.724,387,0.478,351,0.348,0.526,13.6,4.7,8.3,1.8,9.4,0.74,0.5,6.3
Josh Childress,Nor,SF,30,4,5.8,10.2,2,1,0,0,0,0,0,0,,0,0.8,7.5,0.5,11.1,0.25,0,0
Dionte Christmas,Pho,SF,27,31,6.2,12.7,18.1,0.076,24,0.75,31,0.419,31,0.29,0.489,2.3,1.2,11.2,0.3,6.1,0.06,0.1,6.1
Earl Clark,Cle,PF,26,45,15.3,31.1,18.2,0.107,24,0.583,124,0.403,116,0.345,0.467,5.2,2.8,10.4,0.4,3.7,0.36,0.42,4.7
Earl Clark,Nyk,PF,26,9,7.6,14.6,18,0.038,10,0.8,15,0.4,6,0.167,0.453,2.6,1.8,13.8,0.2,4.5,0.11,0.67,5.1
Ian Clark,Uta,SG,22,23,7.2,14.8,23.1,0.167,7,0.714,36,0.417,31,0.355,0.485,3,0.8,6.6,0.7,15.3,0.35,0.09,6.6
Victor Claver,Por,SF,25,21,8.6,17.3,14,0.19,11,0.909,24,0.583,18,0.167,0.502,2.2,1.9,11.7,0.6,9.3,0.14,0.14,6.3
Norris Cole,Mia,PG,25,82,24.4,50.3,15.7,0.195,68,0.779,326,0.451,174,0.345,0.497,6.4,2,5,3,18,0.94,0.06,5.5
Jason Collins,Bro,C,35,22,7.7,15.4,9.1,0.214,4,0.75,21,0.524,3,0,0.485,1.1,0.9,6.8,0.2,3.5,0.36,0.05,3
Darren Collison,Lac,PG,26,80,25.7,53.2,19.9,0.143,224,0.857,505,0.501,189,0.376,0.575,11.4,2.4,5.1,3.7,22.1,1.16,0.19,7.3
Nick Collison,Okc,PF,33,81,16.5,34.2,11.7,0.201,93,0.71,224,0.58,17,0.235,0.599,4.2,3.6,12.4,1.3,11,0.37,0.35,6.5
Mike Conley,Mem,PG,26,73,33.3,68.9,24.7,0.115,276,0.815,739,0.484,291,0.361,0.545,17.2,2.9,5.2,6,30.2,1.51,0.18,8
Chris Copeland,Ind,SF,29,41,6.3,12.9,24.4,0.102,14,0.714,38,0.579,79,0.418,0.621,3.7,0.8,7,0.4,13.2,0.07,0.17,6.7
DeMarcus Cousins,Sac,C,23,71,32.2,66.5,32.9,0.147,595,0.726,1184,0.499,7,0,0.555,22.7,11.7,20.5,2.9,18,1.54,1.28,11.4
Allen Crabbe,Por,SG,21,15,6.5,12.9,16.9,0.079,4,0.75,19,0.316,14,0.429,0.475,2.2,0.6,5,0.4,9,0.13,0.07,5
Jamal Crawford,Lac,SG,33,69,30.1,62.5,27.3,0.105,322,0.866,565,0.46,446,0.361,0.556,18.6,2.3,4.2,3.2,17.6,0.86,0.17,6.8
Jordan Crawford,Bos,SG,25,39,30.5,63.2,22.1,0.142,126,0.873,297,0.465,157,0.318,0.526,13.7,3.1,5.7,5.7,31.3,0.87,0.08,8.2
Jordan Crawford,Gol,SG,25,42,15.6,32,27,0.124,43,0.837,205,0.483,128,0.313,0.503,8.4,1.5,5.3,1.4,14.4,0.31,0.05,6.7
Jae Crowder,Dal,SF,23,78,15.9,32.8,13.4,0.113,61,0.754,145,0.552,151,0.331,0.551,4.6,2.5,9.1,0.8,6.8,0.76,0.27,5.3
Dante Cunningham,Min,SF,26,81,20,41.3,15.3,0.074,67,0.567,504,0.47,6,0,0.475,6.3,4.1,11.1,1,7.9,0.77,0.7,5.9
Jared Cunningham,Sac,SG,22,8,7.1,13.8,19.5,0,14,0.929,13,0.308,6,0.167,0.477,3,0.6,5,0.6,13,0.38,0,5.8
Seth Curry,Cle,PG,23,1,8.5,8.7,15.7,0,0,0,2,0,1,1,0.5,3,1,6.6,0,0,2,0,0
Stephen Curry,Gol,PG,25,78,36.3,75,28.4,0.161,348,0.885,768,0.509,615,0.424,0.61,24,4.3,6.4,8.6,40.2,1.65,0.18,10.6
Samuel Dalembert,Dal,C,32,80,20,41.3,15,0.171,137,0.737,376,0.569,1,0,0.605,6.6,6.8,19.5,0.5,3.5,0.51,1.18,5.6
Troy Daniels,Hou,SG,22,5,14.7,27.3,20.2,0.088,0,0,6,0.5,25,0.48,0.677,8.4,0.8,3,1,11.6,0,0,5.1
Luigi Datome,Det,SF,26,34,6.8,14.1,20.7,0.098,10,0.8,58,0.466,39,0.179,0.409,2.4,1.4,10.8,0.3,7.2,0.18,0.03,5.9
Brandon Davies,Phi,PF,22,51,11.1,22.8,14,0.188,53,0.642,118,0.441,10,0.2,0.476,2.8,2.1,10.4,0.5,7.2,0.47,0.16,5.2
Anthony Davis,Nor,C,20,67,35,72.1,25.3,0.083,440,0.791,996,0.522,9,0.222,0.582,20.8,10,16.7,1.6,8,1.33,2.82,7.9
Ed Davis,Mem,PF,24,63,15,30.9,18.1,0.108,89,0.528,290,0.534,0,0,0.542,5.7,4.1,16.3,0.4,4.6,0.27,0.68,5.6
Glen Davis,Orl,PF,28,45,29.9,60.7,21,0.095,114,0.675,502,0.454,10,0.4,0.485,12.1,6.3,11.9,1.6,8.9,1.02,0.49,6.6
Glen Davis,Lac,PF,28,23,13.2,27,15.8,0.157,23,0.783,80,0.488,1,0,0.527,4.2,3,12.7,0.3,3.4,0.52,0.3,4.7
Austin Daye,San,SF,25,14,8,16.4,25.4,0.079,7,0.571,26,0.346,29,0.414,0.499,4.1,1.4,10,0.4,8.2,0.29,0.29,6.6
Nando De Colo,San,SF,26,26,11.3,23.4,18.9,0.17,22,0.818,62,0.516,31,0.323,0.545,4.3,1.7,8.6,1.2,15.5,0.58,0.12,7.3
Nando De Colo,Tor,SF,26,21,9,17.8,19.2,0.176,13,1,38,0.368,22,0.364,0.495,3.1,1.3,8.7,1.6,27.6,0.33,0.14,8.3
Dewayne Dedmon,Phi,C,24,11,13.5,26.4,12.5,0.206,13,0.538,29,0.517,0,0,0.533,3.4,4.5,17.8,0.3,3,0,0.82,4.9
Dewayne Dedmon,Orl,C,24,16,14.4,28.1,13.7,0.13,17,0.765,53,0.434,0,0,0.488,3.7,4.9,19.1,0.1,1.3,0.44,0.81,3.4
Matthew Dellavedova,Cle,SG,23,72,17.5,35.9,13.4,0.159,48,0.792,142,0.458,154,0.37,0.534,4.7,1.7,5.5,2.6,22.2,0.47,0.07,6.3
Luol Deng,Chi,SF,28,23,37.2,74.1,25.2,0.126,124,0.815,292,0.49,62,0.274,0.536,19,6.9,10.5,3.7,18.9,1.04,0.17,8.4
Luol Deng,Cle,SF,28,40,33.7,68.3,20.7,0.088,144,0.771,379,0.451,127,0.315,0.503,14.3,5.1,8.5,2.5,12,0.95,0.13,6.7
DeMar DeRozan,Tor,SG,24,79,38,78,28.2,0.095,630,0.824,1197,0.451,210,0.305,0.532,22.7,4.3,6.7,4,19,1.09,0.35,7.7
Boris Diaw,San,PF,31,79,24.8,51.4,17.1,0.163,92,0.739,468,0.549,112,0.402,0.578,9.1,4.1,9.4,2.8,16.5,0.56,0.41,7.6
Gorgui Dieng,Min,C,24,60,13.4,27.7,17,0.168,93,0.634,226,0.496,1,1,0.534,4.8,5,20.2,0.7,7.3,0.5,0.83,7.6
Toney Douglas,Gol,PG,27,24,10.8,22,17.9,0.152,8,0.625,27,0.481,59,0.322,0.492,3.7,1,5.3,0.8,10.6,0.25,0.08,5.3
Toney Douglas,Mia,PG,27,27,15,30.2,15.8,0.135,26,0.769,61,0.475,43,0.279,0.494,4.2,2.3,9.5,1.8,17.6,0.48,0.11,6.9
Chris Douglas-Roberts,Cha,SF,27,49,20.5,42,14.9,0.111,82,0.805,120,0.5,132,0.386,0.588,6.9,2.4,6.7,1,8,0.59,0.33,5
Goran Dragic,Pho,SG,27,76,34.9,72.4,24.7,0.143,416,0.76,794,0.542,299,0.408,0.604,20.3,3.2,5.2,5.9,28.4,1.37,0.28,8.3
Andre Drummond,Det,C,20,81,32.2,66.7,16.8,0.107,328,0.418,767,0.625,2,0,0.599,13.5,13.2,22.4,0.4,2.2,1.26,1.62,5.2
Jared Dudley,Lac,SF,28,74,23.2,48,13.6,0.106,58,0.655,222,0.518,225,0.36,0.541,6.9,2.2,5.2,1.4,8.7,0.55,0.14,4.8
Tim Duncan,San,C,37,74,29,60.1,25.4,0.132,316,0.731,901,0.493,5,0,0.535,15.1,9.8,19,3,16.2,0.58,1.88,10.5
Mike Dunleavy,Chi,SF,33,82,31.3,64.4,17.2,0.113,164,0.854,450,0.467,324,0.38,0.549,11.3,4.2,7.7,2.3,12.4,0.78,0.56,6.1
Kevin Durant,Okc,SF,25,81,38.4,79.4,33.2,0.122,805,0.873,1197,0.549,491,0.391,0.635,32,7.4,10.9,5.5,26.9,1.27,0.73,11.4
Shane Edwards,Cle,SF,26,2,5.7,7.8,15.6,0.25,0,0,3,0.333,0,0,0.333,1,1,9.8,0,0,0,0,0
Wayne Ellington,Dal,SG,26,45,8.5,17.5,16.8,0.078,11,0.909,67,0.448,59,0.424,0.554,3.2,1,6.5,0.4,7.3,0.36,0.04,5.1
Monta Ellis,Dal,PG,28,82,36.7,75.8,26.2,0.152,430,0.788,1070,0.475,209,0.33,0.532,19,3.6,5.7,5.7,24.9,1.72,0.28,8
Melvin Ely,Nor,C,35,2,13.4,20.4,10.2,0,0,0,6,0.5,0,0,0.5,3,0.5,2.2,0,0,0,0.5,0
Jeremy Evans,Uta,SF,26,66,18.1,37.6,15.5,0.099,75,0.68,330,0.53,2,0,0.549,6.1,4.7,14.9,0.7,6.1,0.64,0.7,6
Reggie Evans,Bro,PF,33,30,13.1,26.5,13.8,0.242,65,0.538,59,0.39,0,0,0.462,2.7,5,22.7,0.2,1.9,0.43,0.07,4.3
Reggie Evans,Sac,PF,33,24,20.7,42,13.3,0.201,65,0.569,91,0.527,0,0,0.556,5.5,7.7,21,0.7,4.8,1,0.04,6
Tyreke Evans,Nor,SF,24,72,28,57.7,27.3,0.145,310,0.771,802,0.461,95,0.221,0.504,14.5,4.7,9.8,5,30.7,1.17,0.29,10
Kenneth Faried,Den,PF,24,80,27,56.1,21.5,0.124,311,0.65,817,0.547,3,0,0.573,13.7,8.5,17,1.2,7.4,0.88,0.86,7.7
Jordan Farmar,Lal,PG,27,41,22.1,45.8,23.5,0.198,59,0.746,204,0.397,160,0.438,0.533,10.1,2.5,6.1,4.9,34.9,0.93,0.2,9
