"Temp","V:0","V:1","V:2","Pres","AsH3","GaMe3","CH4","H2","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
763.09,14.909,-1.0933,-12.353,0.019929,0.09917,0.0017247,0.00096205,0.89814,6576,6576,0,-4.198,-0.28798
913.15,-19.949,0,-0.12938,0.024829,0.087597,0.00087617,0.0010081,0.91052,157,157,0,3.81,0
913.15,-19.646,-3.4641,-0.12937,0.024829,0.087597,0.00087616,0.0010081,0.91052,2051,2051,-0.6616,3.7521,0
913.15,-19.949,0,6.0993e-24,0.019497,0.086233,0.00063138,0.0010739,0.91206,6563,6563,0,3.81,-0.28798
913.15,-19.646,-3.4641,6.0993e-24,0.019497,0.086232,0.00063137,0.0010739,0.91206,6916,6916,-0.6616,3.7521,-0.28798
913.15,-18.746,-6.823,-0.12938,0.02483,0.087596,0.00087618,0.0010081,0.91052,2052,2052,-1.3031,3.5802,0
737.4,-13.688,-2.0487,-12.688,0.022752,0.10328,0.0020302,0.00092646,0.89377,3196,3196,-1.4358,3.9448,0
913.15,-18.746,-6.823,6.0993e-24,0.019497,0.086232,0.00063137,0.0010739,0.91206,6918,6918,-1.3031,3.5802,-0.28798
763.09,-14.383,-4.0712,-12.353,0.019929,0.099169,0.0017247,0.00096203,0.89814,7023,7023,-1.4358,3.9448,-0.28798
913.15,-17.276,-9.9746,-0.12939,0.024829,0.087595,0.00087623,0.001008,0.91052,2053,2053,-1.905,3.2996,0
737.39,-13.124,-4.3928,-12.689,0.022752,0.10328,0.0020303,0.00092643,0.89377,3197,3197,-2.099,3.6356,0
913.15,-17.276,-9.9746,6.0993e-24,0.019497,0.086231,0.00063139,0.0010739,0.91206,6920,6920,-1.905,3.2996,-0.28798
763.09,-13.457,-6.5064,-12.354,0.019929,0.099168,0.0017247,0.000962,0.89815,7024,7024,-2.099,3.6356,-0.28798
913.15,-15.282,-12.823,-0.1294,0.024829,0.087594,0.00087631,0.001008,0.91052,2054,2054,-2.449,2.9186,0
737.39,-12.164,-6.6039,-12.691,0.022752,0.10328,0.0020304,0.0009264,0.89377,3198,3198,-2.6984,3.2159,0
913.15,-15.282,-12.823,6.0993e-24,0.019496,0.086231,0.00063141,0.0010739,0.91206,6922,6922,-2.449,2.9186,-0.28798
763.09,-12.123,-8.7443,-12.355,0.019929,0.099168,0.0017248,0.00096198,0.89814,7025,7025,-2.6984,3.2159,-0.28798
913.15,-12.823,-15.282,-0.12941,0.02483,0.087595,0.00087639,0.001008,0.91052,2055,2055,-2.9186,2.449,0
737.39,-10.834,-8.6163,-12.691,0.022752,0.10328,0.0020305,0.00092639,0.89377,3199,3199,-3.2159,2.6984,0
913.15,-12.823,-15.282,6.0993e-24,0.019496,0.086231,0.00063144,0.0010739,0.91206,6924,6924,-2.9186,2.449,-0.28798
763.09,-10.421,-10.717,-12.355,0.019929,0.099169,0.0017249,0.00096197,0.89814,7026,7026,-3.2159,2.6984,-0.28798
